,env,batch_size,use_target,num_hidden,learn_rate,memory_size,discount_factor,run,scores,l2_norms,maxQs,soft_convergence_thresh
62,MountainCar-v0,64,250,128,0.0001,10000,0.99,1,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.9367), tensor(7.9621), tensor(7.9949), tensor(8.0176), tensor(8.0252), tensor(8.0264), tensor(8.0265), tensor(8.0261), tensor(8.0255), tensor(8.0248)]","[None, 0.8554117679595947, 1.1213465929031372, 1.3090386390686035, 1.3655800819396973, 1.367496371269226, 1.3634822368621826, 1.3475489616394043, 1.3325860500335693, 1.31644868850708]",99.99999999999991
63,MountainCar-v0,64,250,128,0.0001,20000,0.99,1,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.9367), tensor(7.9621), tensor(7.9949), tensor(8.0176), tensor(8.0252), tensor(8.0264), tensor(8.0265), tensor(8.0261), tensor(8.0255), tensor(8.0248)]","[None, 0.8554117679595947, 1.1213465929031372, 1.3090386390686035, 1.3655800819396973, 1.367496371269226, 1.3634822368621826, 1.3475489616394043, 1.3325860500335693, 1.31644868850708]",99.99999999999991
64,MountainCar-v0,64,250,128,0.0001,64,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -92.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8915), tensor(7.9379), tensor(7.9731), tensor(8.0000), tensor(8.0058), tensor(8.0229), tensor(8.0259), tensor(8.0289), tensor(8.0292), tensor(8.0294)]","[None, 0.8774136304855347, 1.299951195716858, 1.3218588829040527, 1.4521516561508179, 1.4518691301345825, 1.434827208518982, 1.36862313747406, 1.359493374824524, 1.3365601301193237]",99.99999999999991
65,MountainCar-v0,64,250,128,0.0001,5000,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8978), tensor(7.9537), tensor(8.0011), tensor(8.0229), tensor(8.0291), tensor(8.0308), tensor(8.0316), tensor(8.0326), tensor(8.0335), tensor(8.0343)]","[None, 0.9679740071296692, 1.3176058530807495, 1.462716817855835, 1.4918055534362793, 1.4922056198120117, 1.486957311630249, 1.4771320819854736, 1.4705524444580078, 1.462651014328003]",99.99999999999991
66,MountainCar-v0,64,250,128,0.0001,10000,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8978), tensor(7.9537), tensor(8.0011), tensor(8.0229), tensor(8.0291), tensor(8.0308), tensor(8.0316), tensor(8.0326), tensor(8.0335), tensor(8.0343)]","[None, 0.9679740071296692, 1.3176058530807495, 1.462716817855835, 1.4918055534362793, 1.4922056198120117, 1.486957311630249, 1.4771320819854736, 1.4705524444580078, 1.462651014328003]",99.99999999999991
67,MountainCar-v0,64,250,128,0.0001,20000,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8978), tensor(7.9537), tensor(8.0011), tensor(8.0229), tensor(8.0291), tensor(8.0308), tensor(8.0316), tensor(8.0326), tensor(8.0335), tensor(8.0343)]","[None, 0.9679740071296692, 1.3176058530807495, 1.462716817855835, 1.4918055534362793, 1.4922056198120117, 1.486957311630249, 1.4771320819854736, 1.4705524444580078, 1.462651014328003]",99.99999999999991
68,MountainCar-v0,64,250,128,0.0001,64,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -92.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8915), tensor(7.9379), tensor(7.9731), tensor(8.0000), tensor(8.0058), tensor(8.0229), tensor(8.0259), tensor(8.0289), tensor(8.0292), tensor(8.0294)]","[None, 0.8774136304855347, 1.299951195716858, 1.3218588829040527, 1.4521516561508179, 1.4518691301345825, 1.434827208518982, 1.36862313747406, 1.359493374824524, 1.3365601301193237]",99.99999999999991
69,MountainCar-v0,64,250,128,0.0001,5000,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8978), tensor(7.9537), tensor(8.0011), tensor(8.0229), tensor(8.0291), tensor(8.0308), tensor(8.0316), tensor(8.0326), tensor(8.0335), tensor(8.0343)]","[None, 0.9679740071296692, 1.3176058530807495, 1.462716817855835, 1.4918055534362793, 1.4922056198120117, 1.486957311630249, 1.4771320819854736, 1.4705524444580078, 1.462651014328003]",99.99999999999991
70,MountainCar-v0,64,250,128,0.0001,10000,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8978), tensor(7.9537), tensor(8.0011), tensor(8.0229), tensor(8.0291), tensor(8.0308), tensor(8.0316), tensor(8.0326), tensor(8.0335), tensor(8.0343)]","[None, 0.9679740071296692, 1.3176058530807495, 1.462716817855835, 1.4918055534362793, 1.4922056198120117, 1.486957311630249, 1.4771320819854736, 1.4705524444580078, 1.462651014328003]",99.99999999999991
71,MountainCar-v0,64,250,128,0.0001,20000,0.99,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]","[tensor(7.8978), tensor(7.9537), tensor(8.0011), tensor(8.0229), tensor(8.0291), tensor(8.0308), tensor(8.0316), tensor(8.0326), tensor(8.0335), tensor(8.0343)]","[None, 0.9679740071296692, 1.3176058530807495, 1.462716817855835, 1.4918055534362793, 1.4922056198120117, 1.486957311630249, 1.4771320819854736, 1.4705524444580078, 1.462651014328003]",99.99999999999991
